BNC	TAG_ING	ING	VERB_LEMMA	ING_LEMMA
K5J	VVG	taking	con	take
K5L	VVG	believing	delude	believe
K5L	VVG	seeing	sway	see
K5M	VVG	joining	delude	join
K5M	VVG	admitting	coerce	admit
K5M	VVG	confessing	torture	confess
K5M	VVG	voting	trick	vote
K5M	VVG	giving	threaten	give
K5M	VVG	giving	threaten	give
K5M	VVG	adjourning	talk	adjourn
K62	VVG	working	draw	work
K6A	VVG	discussing	draw	discuss
K6F	VVG	believing	mislead	believe
K75	VDG	doing	sidetrack	do
K8R	AJ0-VVG	coming	inveigle	come
K8R	AJ0-VVG	coming	trick	come
K8S	VVG	giving	seduce	give
K8X	VVG	making	press	make
K94	VVG	believing	mislead	believe
K96	VVG	accepting	pressure	accept
K96	VVG	believing	mislead	believe
K96	VVG	thinking	bluff	think
K96	AJ0-VVG	paying	lock	pay
K97	NN1-VVG	parting	trick	part
K97	AJ0-VVG	signing	beat	sign
K97	VVG	selling	talk	sell
K97	VVG	using	educate	use
K97	VVG	thinking	mislead	think
K97	VVG	trying	talk	try
K97	VVG	revealing	torture	reveal
K97	VVG	running	shock	run
KA1	AJ0-VVG	allowing	trick	allow
KA1	VVG	stealing	frighten	steal
KA1	VVG	seeing	manipulate	see
KA1	VVG	seeing	sway	see
KA1	VVG	thinking	persuade	think
KA8	VVG	jumping	bamboozle	jump
KAB	VVG	becoming	cajole	become
KAC	VVG	putting	inveigle	put
KAJ	NN1-VVG	performing	inveigle	perform
KB0	VHG	having	trick	have
KB0	VVG	believing	trick	believe
KBF	VVG	going	talk	go
KBX	AJ0-VVG	believing	trick	believe
KC0	VDG	doing	talk	do
KC5	VVG	going	con	go
KCU	NN1-VVG	misbehaving	seduce	misbehave
KCU	NN1-VVG	misbehaving	seduce	misbehave
KCX	VVG	posting	con	post
KCX	VVG	posting	con	post
KD3	VVG	going	make	go
KDA	VBG	being	co-hearse	be
KDM	VVG	selling	coerce	sell
KDW	NN1-VVG	signing	force	sign
KGN	VHG	having	lead	have
KGP	VBG	being	push	be
KLS	NN1-VVG	volunteering	con	volunteer
KLY	VVG	providing	pressurise	provide
KN6	VVG	accepting	challenge	accept
KPU	VVG	lying	force	lie
KPV	VDG	doing	bludgeon	do
KRF	VVG	making	precipitate	make
KRK	VVG	voting	con	vote
KRL	VHG	having	force	have
KRL	VVG	believing	mislead	believe
KRL	VVG	looking	draw	look
KRL	VVG	behaving	force	behave
KRL	VDG	doing	force	do
KRL	VVG	producing	push	produce
KRM	VVG	saying	deceive	say
KRP	VVG	using	lead	use
KRP	VVG	giving	pressurise	give
KRT	VVG	opening	trick	open
KS2	NN1-VVG	liking	jolly	like
KS6	VVG	thinking	force	think
C90	AJ0-VVG	requesting	inspire	request
